Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-000990,04/08/2013,1:35 PM,Controlled Substance,Lafayette Street Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of two small baggies containing marijuana and drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-000994,04/08/2013,5:25 PM,Criminal Mischief,Bobst Library,"On time and date of report, Public Safety observed two students using chalk to draw non-bias graffiti on the exterior columns near front entrance. Students consented to clean the graffitti themselves and immediately did so with assistance from janitorial staff.",Closed/No Further Action
1-2013-001006,04/08/2013,12:45 PM,Sexual Offense,Third Avenue North Residence,"On time and date of report, a student states that around 6:00am on April 7 he was possibly drugged and assaulted sexually while incapacitated in his room by another student known to him. Incident reported initially to Wellness Center and referred to Public Safety. Student declined police notification.",Open/Under Investigation
1-2013-001010,04/09/2013,3:05 PM,Harassment,Washington Square Park,"On time and date of report, two students state that at 2:50pm on date of report they were harassed verbally and accosted by an unkown male peddlar offering ""Free Hugs"" in the park. NYPD notified and a police report was filed.",Closed/Arrest Involved
1-2013-001012,04/09/2013,7:45 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that at approximately 5:00pm on April 8 his iPhone and wallet containing personal identification and a credit card were stolen from the gymnasium while left unattended. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001013,04/09/2013,6:55 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 6:45pm and 6:55pm on date of report her wallet containing personal identification, credit cards and $150 was stolen from the women's restroom on the lower level of the library. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-001020,04/10/2013,10:40 AM,Larceny,Kriser Dental Center,"On time and date of report, a clinic manager states that $300 cash was missing from the clinic money bag that is kept at the patient reception desk. NYPD notified and a report was filed.",Closed/No Suspects or Witnesses
1-2013-001024,04/10/2013,1:00 PM,Harassment,Washington Square Park,"On time and date of report, two students state that between 12:55pm and time/date of report they were harassed verbally and accosted by an unknown male peddlar wearing a sign that said ""Free Hugs."" Declined police notification.",Closed/Arrest Involved
1-2013-001027,04/10/2013,5:15 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 3:15pm and time/date of report her backpack containing an Apple laptop and eyeglasses (total value $2000), credit card and NYU ID card were stolen from a locked locker that was pried open. Complainant indicated that she will file a police report.",Closed/No Suspects or Witnesses
1-2013-001034,04/11/2013,12:10 AM,Larceny,Carlyle Court,"On time and date of report, a student states that sometime between 4:00pm on April 8 and time/date of report his prescription medication was stolen from his room. NYPD notified and a police report was filed.",Closed/Referred to Appropriate Department
1-2013-001037,04/11/2013,1:10 PM,Harassment,Third Avenue North Residence,"On time and date of report, a student states that at 11:39pm on April 9 she received a threatening text message from an unknown telephone number. Complainant indicated that she would file a police report.",Closed/No Further Action
1-2013-001046,04/11/2013,8:20 PM,Harassment,Carlyle Court,"On time and date of report, a student states that between 10:00pm February 23 and 10:15pm April 10 he received numerous threatening phone calls from an unkown male using a blocked phone number. Declined police notification at this time.",Open/Under Investigation
1-2013-001048,04/11/2013,6:45 PM,Larceny,Third Avenue North Residence Hall,"On time and date of report, a cafeteria manager states that between 5:45pm and 6:40pm on date of report a former employee had entered the cafe and was caught stealing food. Perpetrator was escorted out of building without incident. Declined police notification.",Closed/Referred to Appropriate Department
1-2013-001049,04/11/2013,9:05 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 7:00pm and time/date of report her Apple laptop of unknown value was stolen from a backpack that was placed in an unlocked locker in the women's locker room. NYPD notified and a police report filed.",Open/Under Investigation
1-2013-001050,04/12/2013,2:30 AM,Assault,12th Street Residence/Founders Hall,"On time and date of report, a student states that between 1:00am and 1:10am on date of report as she was walking with two classmates, she engaged in a verbal dispute with two unidentified females in a parked car who subsequently exited the car, assaulted the student, then returned to the car and fled the scene. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2013-001054,04/12/2013,11:55 AM,Larceny,Vanderbilt Hall,"On time and date of report, a law student states that between 3:00pm April 11 and time/date of report his bicycle valued at $400, locked to a banister in the courtyard was stolen. Complainant indicated that he would file a police report at a later time.",Closed/No Suspects or Witnesses
1-2013-001061,04/13/2013,4:10 PM,Sexual Offense,Third Avenue North Residence,"On time and date of report, a student states that between 11:00pm April 12 and 12:00am on date of report she was assaulted sexually by a male student known to her in the male student's room. Declined police notification at this time. NOTE: Student reconsidered and filed a police report with the NYPD.",Open/Under Investigation
1-2013-001068,04/14/2013,3:30 PM,Larceny,Palladium Hall,"On time and date of report, a student states that between 9:00pm and 10:00pm on April 13 his leather jacket of unknown value containing his personal ID was stolen from the cafeteria. Declined police notification.",Open/Under Investigation
1-2013-001073,04/15/2013,4:40 PM,Larceny,Puck Building,"On time and date of report, a staff member states that between 12:45pm and 1:45pm on date of report her Samsung Galaxy phone valued at $100 was stolen from the top of her unattended desk in an open cubicle area on the 2nd floor. Declined police notification.",Open/Under Investigation
1-2013-001074,04/15/2013,2:25 PM,Larceny,Puck Building,"On time and date of report, a staff member states that between 12:30pm and 2:00pm on date of report her purse containing a Nikon camera, iPad and keys (total value $700) was stolen from underneath her unattended desk in an open cubicle area on the 2nd floor. NYPD notified and a police report filed.",Open/Under Investigation
1-2013-001075,04/15/2013,3:05 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 7:00pm April 11 and 3:00pm on date of report several textbooks and folders of unknown value were stolen from her locked locker on the LL2 level. No visible sign of forced entry. Declined police notification.",Open/Under Investigation
1-2013-001077,04/15/2013,8:30 PM,Larceny,Puck Building,"On time and date of report, a staff member states that between 12:30pm and 5:00pm on date of report his backpack containing an iPod and personal items valued approximately $200 was stolen from underneath his unattended desk in an open cubicle area on the 2nd floor. Declined police notification.",Open/Under Investigation
1-2013-001100,04/17/2013,11:30 AM,Larceny (reclassified as missing property/recovered),Kriser Dental Center,"On time and date of report, a dental student states that between 10:00am and 10:45am on date of report his Apple iPad of unknown value was stolen from a cubicle in Clinic 1A while he left it unattended. NYPD notified and a police report filed. NOTE: Complainant notified Public Safety indicating he recovered his iPad.",Closed/No Suspects or Witnesses
1-2013-001108,04/17/2013,4:05 PM,Larceny,Kriser Dental Center,"On time and date of report, an associate professor states that between 8:00am and 12:00pm March 20 several dental instruments valued at $3150 were stolen from Clinic 1-W. Items previously believed to be lost/misplaced. Complainant indicated that he would file a police report at a later time.",Closed/No Suspects or Witnesses
1-2013-001116,04/17/2013,10:25 PM,Larceny,Palladium Sports Center,"On time and date of report, a student states that between 8:15pm and 10:00pm his gym bag, clothing and a necklace of unknown value were stolen from an unsecured locker in the men's locker room. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001126,04/18/2013,12:40 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 10:00am and 11:00am April 16 his Apple laptop valued at $1049 was stolen from the men's bathroom on the LC level. Complainant indicated that he would file a police report at a later time.",Closed/No Suspects or Witnesses
1-2013-001129,04/18/2013,7:15 PM,Larceny,Palladium Sports Center,"On time and date of report, a student states that between 5:30pm and 6:10pm on date of report his backpack containing NYU ID, credit card and clothing of unknown value was stolen from an unsecured locker in the men's locker room on the C-1 level. Declined police notification at this time.",Open/Under Investigation
1-2013-001134,04/19/2013,10:52 AM,Larceny,721 Broadway,"On time and date of report, a staff member states that between 1:00pm and 7:00pm April 18, $90 cash was stolen from her purse which was left unattended underneath her desk in an office on the 5th floor. Declined police notification at this time.",Closed/No Suspects or Witnesses
1-2013-001138,04/19/2013,1:50 PM,Criminal Mischief,Rubin Residence Hall,"On time and date of report, a student states that at some point before making this report, an unudentified person tampered with the lock on his room door by placing a glue like substance in the keyhole. Lock replaced by maintenance.",Closed/No Identifiable Suspect
1-2013-001165,04/21/2013,7:25 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 2:25pm and 2:40pm on date of report, her I-phone of undetermined value was taken from the cafeteria on the 3rd floor. Student later reported she located the phone in the Bronx using I-cloud.",Closed/No Suspects or Witnesses
1-2013-001168,04/09/2013,9:59 AM,Larceny,NYU Buenos Aires,"On time and date of report, Public Safety was apprised that a projector of undetermined value was removed from a classroom used by the site in a building a few blocks away from the academic center between April 4th and April 8th.",Open/Under Investigation
1-2013-001172,04/22/2013,3:00 PM,Dangerous Weapons,80 Lafayette Street Residence,"On time and date of report, Public Safety received information pertaining to several firearms being observed in a student's room. Upon response, several replica rifles were observed. The student was cooperative and produced several other replica weapons. NYPD notified and arrested the student.",Closed/Arrest Involved
1-2013-001177,04/22/2013,11:23 PM,Larceny (reclassified as missing property/recovered),Coles Sports Center,"On time and date of report, a student states that a watch valued at $400 was taken from her bag while in a locker between 6pm and 7pm on date of report. Declined police notification. NOTE: Complainant notified Public Safety on April 28th that her property was found.",Closed/No Further Action
1-2013-001182,04/23/2013,12:20 PM,Harassment,Deutsches Haus,"On time and date of report, an administrator states several voice mails were received by an unidentified male on their general telephone number between 6pm April 22nd and 10:30am on date of report. Messages were not threatening in nature but left staff uncomfortable. Calls were traced to a general telephone number of Kings County Hospital. NYPD notified.",Open/Under Investigation
1-2013-001184,04/23/2013,3:05 PM,Larceny,Pless Annex,"On time and date of report, a student states that between 1:15pm and 2:30pm on date of report, her I-phone valued at $150 was taken from a room on the 4th floor while it was left unattended. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001188,04/24/2013,2:23 PM,Larceny,Bobst Library,"On time and date of report, a visitor states that between 2pm and 2:22pm on date of report, his Mac laptop valued at $1,200 was taken from a 9th floor location while he stepped away. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-001190,04/24/2013,4:05 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 2pm and 3:50pm, her bicycle valued at $350 was taken from the bike rack in front of the building. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001201,04/25/2013,5:15 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a non NYU affiliated individual was observed concealing merchandise valued at $193.25 in side his panys and then attempted to leave the store without paying. Detained and arrested by the NYPD.",Closed/Arrest Involved
1-2013-001216,04/26/2013,1:50 PM,Larceny,Vanderbilt Hall,"On time and date of report, a staff member states that between 5:30pm April 25th and 8am on date of report, his Mac laptop computer valued at $1,500 was missing from his unlocked office on the 5th floor. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001219,04/26/2013,2:15 PM,Larceny,105 East 17th Street,"On time and date of report, a staff member states that between 5pm April 23rd and 5pm April 25th, a personal book valued at $30 was taken from his 2nd floor cubicle. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001224,04/26/2013,6:20 PM,Burglary,4 Washington Square Village,"On time and date of report, a resident of 4 WSV states that between April 16th and April 20th, foreign currency was taken from her apartment. She further states that maintenance personnel were present in the apartment during this time period. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001241,04/28/2013,6:05 PM,Larceny,Starbucks on the Square,"On time and date of report, a student states that at 2pm on date of report, she left her bag containing a laptop computer, wallet with cash, personal identification and debit cards unattended while she ordered her coffee. Upon return five minutes later, the bag was missing. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-001250,04/29/2013,12:55 PM,Larceny,Education Building,"On time and date of report, a staff member states that between 6:23pm April 26th and 12 noon on date of report, four Dewalt screw guns valued at $1,600 were taken from a storage area on the C level. NYPD notified and a polcie report was filed.",Closed/No Suspects or Witnesses
1-2013-001253,04/29/2013,7:16 PM,Dangerous Weapons,80 Lafayette Residence,"On time and date of report, Public Safety was apprised that a maintenance worker observed bullets, a hand grenade and drug paraphernalia in a student's room on the 1st floor. Upon response, it was determined that those items were inactive.",Closed/Referrd to University Judicial
1-2013-001254,04/29/2013,4:35 PM,Larceny,Kriser Dental Center,"On time and date of report, a staff member states that between 10:45 am and 3pm, her wallet containing cash, personal idntification and debit cards was taken while left unattended in an office. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-001258,04/29/2013,9:00 AM,Larceny,Carlyle Court,"On tiem and date of report, a studnet states that between March 16th and March 24th, a digitial camera and related equipment valued at $2,833 was taken from his room during Spring Break. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-001261,04/30/2013,10:45 AM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a student states that between 10:05am and 10:25am on date of report, her I-phone of undetermined value had been taken from her handbag while it was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001262,04/30/2013,11:25 AM,Larceny,Starbucks on the Square,"On time and date of report, a student states that between 10:24am and 10:30am, her backpack containing a Mac laptop computer valued at $1,500 was taken while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001268,04/30/2013,7:15 PM,Larceny,Washington Square Park,"On time and date of report, a student states that at 7:10pm on date of report, an unidentified male grabbed her I-Phone valued at $200 off the bench she was sitting at and fled in an unknown location. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2013-000557,03/01/2013,4:15 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 3:50pm and 4:10pm on date of report, his Mac laptop computer of undetermined value was taken from a location on the ground floor while left unattended. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-000562,03/02/2013,7:00 PM,Harassment,Education Building,"On time and date of report, a student states being the recipient of unwanted text and emails from a person known to her. The same individual had entered the Public Safety command center prior to this report making inquiries about this studnet and was furnished no information.",Open/Under Investigation
1-2013-000571,03/03/2013,11:15 AM,Disorderly Conduct,Global Center for Spiritual Life,"On time and date of report, Public Safety was requested to escort a disorderly visitor from the building. Action was completed without further incident.",Closed/No Further Action
1-2013-000576,03/01/2013,10:10 AM,Burglary (2),NYU Florence,"On time and date of report, Public Safety was apprised of a burglary of an apartment where NYU in Florence students resided. On February 28th, an unidentified person seen entering the building is suspected of entering the apartment between 2:45pm and 3:35pm. Two bedrooms were entered and jewelry with an estimated valued of approximately $1,900 was taken. Local police notified, responded and are investigating the incident.",Open/Under Investigation
1-2013-000579,03/04/2013,12:56 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 7:45pm March 3rd and 8am on date of report, his laptop valued at $650 was taken from a 3rd floor location while it was left unattended. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000580,03/04/2013,11:00 AM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted resource management staff in the confiscation of an envelope containing marijuana.",Closed/Referred to University Judicial
1-2013-000581,03/04/2013,1:30 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that on February 21st, between 12pm and 2pm, her camera valued at $350 was taken from a chair in a clinic on the 5th floor. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000590,03/04/2013,7:00 PM,Larceny (reclassified as missing property/recovered),Coles Sports Center,"On time and date of report, a student states that on March 1st between 10pm and 10:15pm, her I-pod valued at $200 was taken from an undecured locker in the locker room. Declined police notification. NOTE: Complainant notified Public Safety indicating she found her property",Closed/Unfounded
1-2013-000591,03/04/2013,7:20 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 6:30pm and time/date of report, a student states that her laptop with flasj drive of undetermined value was taken from a location on the LL2 level while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-000593,03/04/2013,7:36 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 5pm and 7:30pm on date of report, a leather laptop case valued at $200 was taken from a chair in the library while the property was left unattended. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000601,03/05/2013,11:45 AM,Larceny (reclassified as missing property/recovered),Kriser Dental Center,"On time and date of report, a student states that between 10:15am and 10:20am on date of report, her I-phone valued at $600 was taken from a location on the 11th floor while the property was left unattended. Declined police notification NOTE: Complainant notified Public Safety that she located her property.",Closed/Unfounded
1-2013-000606,03/05/2013,7:34 AM,Sexual Offence,NYU Florence,"On time and date of report, Public Safety was apprised that a student studying at the NYU Florence site was raped by another student known to her in an NYU dormitory. Victim declined police notification. Matter was investigated and adjudicated by administration.",Closed/Referred to Appropriate Department
1-2013-000610,03/05/2013,2:20 PM,Larceny,721 Broadway/Waverly Bicycle Rack,"On time and date of report, a faculty member states that between 9:20am and 2:15pm on date of report, her bicycle valued at $300 was taken from the rack. Declined police notification.",Closed/No Identifiable Suspect
1-2013-000613,03/05/2013,8:30 PM,Larceny,On Campus,"On time and date of report, an NYU alum states that on March 2nd at approximately 2:30pm, on the corner of Mercer And West 3rd Streets, an unidentified female pickpocketed his wallet containing cash, credit cards and personal identification. Complainant filed a police report with the local police precinct.",Closed/Referred to NYPD
1-2013-000614,03/05/2013,10:00 PM,Larceny,Third Avenue North Residence,"On time and date of report, a student states that between February 26th and time/date of report, his unsecured bicycle valued at $350 was taken from the courtyard. Complainant indicated he will file a police report.",Closed/No Suspects or Witnesses
1-2013-000629,03/06/2013,10:10 PM,Attempted Robbery,Washington Square Park,"On time and date of report, a student states that at approximately 10pm on date of report, while walking thru the park, he was accosted by three unidentified males who attempted to steal his backpack. NYPD notified and a report was filed.",Closed/Referred to NYPD
1-2013-000633,03/07/2013,10:20 AM,Larceny,726 Broadway/NYU Bookstore,"On the above time and date, an NYU student was observed concealing a book valued at $67.25 and attempted to leave the store without paying for the item. Individual detained and property recoverd.",Closed/Referred to University Judicial
1-2013-000640,03/07/2013,4:20 PM,Larceny (rclassified as missing property/found),Kriser Dental Center,"On time and date of report, an administrator states that between the evening of March 6th and the morning of date of report, 6 pieces of dental equipment valued at $500 each was discovered missing from a clinic on the 1st floor. NYPD was not notified as of the filing of this report. NOTE: complainant notified Public Safety that the property was found.",Closed/Property Recovered
1-2013-000651,03/08/2013,12:00 PM,Larceny,Warren Weaver Hall,"On time and date of report, a staff member states that at 5:40pm on March 7th, she discovered cash, credit cards and personal papers missing from her wallet which was in an office on the 8th floor. Complainant notified NYPD to file a report.",Closed/No Suspects or Witnesses
1-2013-000662,03/08/2013,7:15 PM,Controlled Substance,Weinstein Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-000683,03/11/2013,10:14 AM,Controlled Substance,NYU London,"On time and date of report, Public Safety was apprised that 7 students residing in an NYU London residence hall had reminants of marijuana in their bathroom.",Closed/Referred to Appropriate Department
1-2013-000685,03/11/2013,11:15 AM,Larceny,Starbucks on the Square,"On time and date of report, a student states that between 4:44pm and 5pm on March 10th, while in the coffee shop, her Blackberry phone valued at $100 was taken from her coat pocket. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000689,03/11/2013,5:00 PM,Larceny,Kriser Dental Center,"On time and date of reprt, a patient states that between 2pm and time.date of report, her wallet was taken from her purse containing cash, credit cards and personal identification while she was being treated in a clinic on the 4th floor. Complainant indicated she will file a police report.",Closed/No Suspects or Witnesses
1-2013-000690,03/11/2013,6:00 PM,Criminal Mischief,Kriser Dental Center,"On time and date of report, a staff member states that between 11pm March 8th and 3pm on date of report, the locking cyclinder to a storeroom on the Basement level had been damaged.",Closed/No Suspects or Witnesses
1-2013-000694,03/11/2013,11:00 PM,Controlled Substance,12th Street Residence/Founders Hall,"On time and date of report, Public Safety assisted residence life with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-000716,03/12/2013,7:40 PM,Larceny,Third Avenue North Residence,"On time and date of report, a student states that 7:20pm and time/date of report, clothing of undetermined value was removed from the laundry room. Complainant indicated he will file a police report.",Closed/No Suspects or Witnesses
1-2013-000717,03/12/2013,6:30 PM,Larceny,Barney Building,"On time and date of report, a student states that between 6pm and 6:01pm on March 11th, her jacket of undetermined value was taken from the location she had just placed it.",Closed/No Suspects or Witnesses
1-2013-000732,03/13/2013,5:36 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, s tudent states between 4:42pm and 5:30pm on date of report, her wallet containing credit cards, cash and peronal identification was taken from a table in Think Coffee while left unattended. Declined police notification at this time.",Open/Under Investigation
1-2013-000733,03/13/2013,5:20 PM,Criminal Mischief,Woolworth Building,"ON time and date of report, non bias graffiti was discovered in the 2nd floor men's bathroom. It is unknown when this occurred or who was responsible. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-000742,03/14/2013,2:20 PM,Larceny (reclassified as missing property/recovered),Kriser Dental Center,"On time and date of report, a faculty member states that dental equipment valued at $1,700 were taken from a counter in a clinic on the 5th floor between 5pm March 12th and 9am March 14th. Declined police notification at this time. NOTE: Complainant indicates a student took the property and placed in a safe location. Returned.",Closed/Unfounded
1-2013-000749,03/14/2013,3:32 PM,Trespass/Attempted,20 Cooper Square,"On time and date of report, Public Safety observed an unidentified male enter thru a side door. When approached, the individual was effasive when asked for identification. Left the building when denied access.",Closed/No Further Action
1-2013-000756,03/15/2013,1:50 PM,Larceny,25 West 4th Street,"On time and date of report, a staff member states that between 2:30pm and 4pm on March 14th, her wallet containing credit cards, cash and personal identification was removed from her purse while left in an unlocked room on the 6th floor. Complainant indicated she will file a police report.",Closed/No Identifiable Suspect
1-2013-000757,03/15/2013,5:00 PM,Larceny,On Campus,"On time and date of report, a student states that between 5pm March 2nd and 5pm March 14th, his bicycle valued at $1,100 was taken from the bike rack on the street in front of the Meyer Building. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000764,03/16/2013,11:30 PM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-000810,03/23/2013,4:38 PM,Larceny,Carlyle Court,"On time and date of report, a student states that a guest took $500 (USC) from her room on the 2nd floor between the hours of 5am and 4:30pm on date of report. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-000811,03/23/2013,6:25 PM,Burglary,726 Broadway,"On time and date of report, an administrator states that between 5pm March 22nd and time/date of report, a Mac laptop computer valued at $1,800 was taken from an office on the 7th floor. Upon investigation, it was observed that 8 additional offices were open and desk drawers were pulled open. It is unknown at this time if additional property was taken. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-000823,03/25/2013,12:15 PM,Larceny,Brown Building,"On time and date of report, a faculty member states that between March 18th and 11am on date of report, his Mac laptop computer valued at $825 was taken from a location on the 11th floor. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-000824,03/25/2013,1:45 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 12:15pm and 12:30pm, her purse containing credit cards, cash and personal identification was taken from a clinic on the 4th floor while the property was left unattended on a chair. Declined police notification.",Closed/No Identifiable Suspect
1-2013-000826,03/25/2013,5:15 PM,Controlled Substance,Alumni Hall,"On timer and date of report, drug paraphernalia was removed from a student's room based on a complaint from another student. Residence Life staff apprised.",Closed/Referred to University Judicial
1-2013-000834,03/26/2013,10:40 AM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 5:30pm March 25th and 8:10am on date of report, dental equipment valued at $2,000 was taken from her location in a clinic on the 4th floor. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000848,03/27/2013,8:35 PM,Trespass,Weinstein Hall,"On time and date of report, an unidentified male was observed sleeping in the lower level men's bathroom. The individual refused to identify himself and indicated he entered with a student. NYPD notified and individual was arrested for criminal trespass.",Closed/Arrest Involved
1-2013-000855,03/28/2013,11:05 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 11am and time date of report, her Mac laptop computer valued at $800 was taken from the lower level ladies bathroom while the property was left unattended. Declined police notification.",Open/Under Investigation
1-2013-000860,03/28/2013,8:30 PM,Assault,Tisch Hall,"On time and date of report, two students engaged in a physical confrontation with each other which resulted in the NYPD being notified. Both students were arrested.",Closed/Referred to Appropriate Department
1-2013-000865,03/29/2013,3:15 AM,Harassment,Weinstein Hall,"On time and date of report, a student states that at approximately 3am, an unidentified male pushed her to the ground as she opened her door on the 3rd floor. The individual re-appeared a few minutes later knocking on numerous doors. Individual could not be located after Public Safety responded.",Closed/No Suspects or Witnesses
1-2013-000885,03/29/2013,4:15 PM,Larceny,14 Washington Place/NYU Computer Bookstore,"On time and date of report, two non NYU affiliated individuals concealed property valued at $231.75 and attempted to leave the store without paying. Both were detained. NYPD notified and arrested the individuals.",Closed/Arrest Involved
1-2013-000895,03/30/2013,4:35 AM,Harassment,Lafayette Street Residence,"On time and date of report, a student states that a short time before making this report, she was physically harassed by aother student known to her.",Closed/Referred to Appropriate Department
1-2013-000897,03/30/2013,8:50 AM,Harassment,Midtown Center,"On time and date of report, an unidentified male made a threatening statement to a staff member on the 4th floor. Escorted out of facility.",Closed/No Further Action
1-2013-000904,03/31/2013,1:40 AM,Controlled Substance,Third Avenue North Resdience Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a location on the 10th floor.",Closed/Referred to University Judicial
1-2013-000221,02/01/2013,11:20 AM,Criminal Mischief,Hayden Hall,"On time and date of report, Public Safety was apprised that on January 27th at 9am, bias graffiti was observed on a bulletin board. It was not directed to anyone and the motivation for this incident could not be determined.",Open/Under Investigation
1-2013-000229,02/02/2013,4:10 AM,Controlled Substance,80 Lafayette Street,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana and drug paraphernalia from a student's room.",Closed/Referred to University judicial
1-2013-000243,02/03/2013,9:50 PM,Controlled Substance,Third Avenue North Residence Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia.",Closed/Referred to Appropriate department
1-2013-000247,02/04/2013,2:25 PM,Larceny,Gramercy Green,"On time and date of report, a student states that between January 29th and February 3rd, 20 prescribed pills were taken from the bottle located in her room. Her room mates deny any knowledge of the circumstances surrounding this incident.",Open/Under Investigation
1-2013-000251,02/04/2013,4:03 pm,Larceny,14 Washington Place/NYU Computer Bookstore,"On time and date of report, an unidentified male disconnected an Apple I-Pad mini valued at $329.99, concealed the tablet and left the store without paying. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-000254,02/05/2013,7:04 AM,Larceny,NYU Florence,"On time and date of report, Public Safety was apprised of a larceny occurring in an apartment occupied by several NYU in Florence students. Two students state that in November 2012, a leather jacket and a blazer were missing. The leather jacket was subsequently found secreted in luggage belonging to another student. Both students did not want to proceed with any formal action.",Closed/No Further Action
1-2013-000257,02/05/2013,3:20 PM,Larceny,Kriser Dental Center,"On time and date of report, an instructor states that between 9:30am and 3pm on February 4th, a serving platter valued at $150 was taken from a room on the 11th floor. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000259,02/05/2013,11:30 PM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-000262,02/06/2013,10:40 AM,Larceny,1 Washington Place,"On time and date of report, a faculty member states that a small safe with research documents was taken from his office between January 28th and February 5th. NYPD notified and a police report was filed.",Closed/No Suspects or Witnesses
1-2013-000275,02/06/2013,11:35 PM,Larceny,Silver Center,"On time and date of report, a student states that between 1:45pm and 10:30pm on date of report, her MP3 player valued at $80 was taken from a room on the 5th floor while left unattended. Declined police notification.",Closed/No Identifiable Suspect
1-2013-000277,02/07/2013,2:00 AM,Disorderly Conduct/Trespass,Palladium Hall,"On time and date of report, a non NYU affiliated individual became disruptive with the Public Safety staff in the lobby when he was denied student information. Individual refused to leave and subsequently became physical which resulted in the NYPD being notified.",Closed/Arrest Involved
1-2013-000288,02/07/2013,7:58 PM,Larceny,On Campus,"On time and date of report, a student states that between the evening of Tuesday 2/5/13 and time/date of report, his bicycle of undetermined value was taken from a bicycle on the sidewalk in front of Bobst Library. Declined police notification.",Open/Under Investigation
1-2013-000297,02/08/2013,1:05 PM,Larceny,383 Lafayette Street,"On time and date of report, an administrator states that between 6pm February 5th and 8:25am February 6th, a metro card and a ski card were taken from the counter. Investigation determined the individual responsible who did not have permission to remove the property.",Closed/Referred to Appropriate Department
1-2013-000300,02/08/2013,8:55 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety was apprised of a suspicious package arriving for a student. Student was called to retrieve the package and asked to open. A sealed air tight bag with marijuana was discovered.",Closed/Referred to University Judicial
